"scope_section","requirement_id","description","phase","db_objects","service_or_action","controller_or_endpoint","policy_and_permission","frontend_route_and_component","queue_or_scheduler","audit_event","automated_tests","manual_verification","status","evidence"
"UI plan 8.5; binding decisions 2.3, 2.4","SRV-UI-PLAN-ACCESS-001","Role-appropriate plan-access content on every public landing page, stating no amount and offering no purchase action, with every withheld piece of source content carrying a recorded reason","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","PlanAccessBlock in content/landing/landingContract.ts; per-account treatment in the eight composition modules","n/a - no API operation; no public plan-price endpoint exists and none was added","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","resources/spa/src/components/landing/LandingPlanAccess.vue","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;landingComposition.spec;LandingComponents.spec;ui-06-public-landing-pages.spec","showsAmount and purchaseCta are typed as the literal false and the component has no branch capable of rendering a price. The canonical price authority is the runtime plan-price catalogue, which no fixture seeds and no public endpoint exposes, so no amount could be proven current (UI06-PRICE-001). Super Administrator carries plan-access-and-administration content instead of a pricing table. Closes the pricing half of UI05-CONTENT-002","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 8.6, 18.5; ADR-017; binding decision 2.5","SRV-UI-PUBLIC-CTA-001","Every public call to action is resolved against the account-host registry and the live route table, so an account can only offer an action its registry row permits and every destination is a path on the current host","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","resources/spa/src/content/landing/ctaResolver.ts","n/a - no API operation; the resolver reads route names, not endpoints","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","LandingHeader.vue, LandingHero.vue and LandingFinalCta.vue render ONE resolution in three places","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;ctaResolver.spec;landingComposition.spec;PublicPages.spec;ui-06-public-landing-pages.spec","Merchant self-registration is exposed by exactly one account and linked by no other, asserted per account in the browser. Six invitation sources ask for an action their registry row forbids; the security boundary wins and the conflict is recorded as UI06-CTA-001. Labels follow the Brand Identity sentence-case rule (UI06-CTA-003)","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 4.2, 17.1","SRV-UI-PUBLIC-ROUTES-001","The public route contract on every approved account host: root, /login, /auth/magic-link/request, /auth/magic-link/consume, /faq and the three legal documents, with /register and /setup for the merchant host and the invitation-acceptance route for invitation accounts","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","resources/spa/src/router/routes/public.ts; router/publicRoutes.ts helpers","n/a - no API operation; routes/web.php already serves every browser path through the SPA shell fallback","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","pages/public/PublicLandingPage.vue; PublicFaqPage.vue; PublicLegalPage.vue; PublicNotFound.vue","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;PublicPages.spec;ui-06-public-landing-pages.spec;scripts/ui06-public-host-smoke.mjs","The plan-named paths are ALIASES of the implementations that already exist, so there is no second login screen to secure and route-name resolution is unchanged - every UI-03 redirect, guard and test is unaffected. The catch-all now states that an address does not exist instead of rendering the entry surface","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 17.1, 17.2, 17.4","SRV-UI-PUBLIC-LEGAL-001","Twenty-four canonical legal routes - three documents on each of the eight account hosts - with the account resolved from the server-provided host context and never from a path segment","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","router/publicRoutes.ts (publicLegalLocation, the closed document vocabulary)","n/a - no API operation","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","pages/public/PublicLegalPage.vue rendering through SvLegalDocument; SvFixedFooter.vue and RoleLandingScaffold.vue migrated off the role-parameterised route","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;PublicPages.spec;RoleLayouts.spec;SvShellControls.spec;ui-06-public-landing-pages.spec;scripts/ui06-public-host-smoke.mjs","Every rendered document carries its source path and hash, asserted in the browser against the manifest. The pre-UI-06 role-parameterised shape survives only as a compatibility route: the account own documents redirect to the canonical path and any other role fails closed without rendering and without redirecting off-host (UI06-LEGAL-001). Closes UI01-LEGAL-002","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 8.3, 17.1","SRV-UI-PUBLIC-FAQ-001","A public FAQ route on every account host serving that account own compiled FAQ in full, rendered through the shared SvFaq disclosure with the source category dividers preserved","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","content/generated/index.generated.ts loadGeneratedFaq; no second parser and no second accordion","n/a - no API operation","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","pages/public/PublicFaqPage.vue; SvFixedFooter now links a destination that exists","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;PublicPages.spec;ui-06-public-landing-pages.spec;scripts/ui06-public-host-smoke.mjs","1,264 compiled items across the eight accounts are all reachable, including the 196 Merchant Administrator questions UI05-FAQ-001 recovered; every disclosure has a unique id and is keyboard operable. Closes UI01-LEGAL-001","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 8.7, 22.2","SRV-UI-LANDING-IMAGES-001","Each public landing page renders its own curated images with responsive AVIF and WebP candidates, measured intrinsic dimensions, an aspect-ratio reservation, the manifest loading strategy and exactly one eager, high-priority hero","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","content/generated/landingImages.generated.ts consumed by the page; no reselection and no re-encoding","n/a - no API operation","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","resources/spa/src/components/landing/LandingPicture.vue; SvLandingSection media slot","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;LandingComponents.spec;PublicPages.spec;ui-06-public-landing-pages.spec;scripts/ui06-public-host-smoke.mjs","32 curated images render across the eight pages, four per account, each in its manifest-assigned region. The browser proof asserts what was actually REQUESTED: no account fetches another account image, and every image it fetches returns. Closes UI01-ASSET-004","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 11; ADR-024","SRV-UI-PUBLIC-FOOTER-001","The fixed footer on every public page carries the theme control, the five social properties, the corporate site, the verbatim copyright, the three legal links and the FAQ link, and obstructs no action","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","SvFixedFooter.vue reused unchanged in structure; PublicLandingLayout supplies the account and the FAQ destination and reserves the footer block size","n/a - no API operation","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","layouts/PublicLandingLayout.vue; components/ui/SvFixedFooter.vue","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;RoleLayouts.spec;SvShellControls.spec;ui-06-public-landing-pages.spec","ONE theme control per page: the duplicate added to the landing header during this phase was removed rather than disambiguated, because two switches for one setting is ambiguous to a screen-reader user. The footer is proven not to overlap the final call to action after scrolling to the end of the page","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 13, 19; ADR-021","SRV-UI-PUBLIC-RESPONSIVE-A11Y-001","The public surface is responsive by CSS media query alone at 360/767/768/1024/1025/1280/1440, renders light by default under a dark operating system, and is axe clean at serious and critical level in both themes","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","Tailwind screens derived from the design-token breakpoints; no JavaScript device detection anywhere in the public surface; the shared useFocusTrap drives the mobile menu","n/a - no API operation","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","components/landing/LandingHeader.vue mobile menu; PublicLandingLayout skip link and single main landmark","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;LandingComponents.spec;ui-06-public-landing-pages.spec","No horizontal page overflow at any required width on any account; exactly one navigation affordance at each width; the mobile menu traps focus, closes on Escape and restores focus to its trigger; axe reports 0 serious and 0 critical on eight landing pages in both themes, eight FAQ pages and a representative legal page","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 18; ADR-017","SRV-UI-PUBLIC-ISOLATION-001","The public account is selected by the server-resolved host context and by nothing else; an unknown or mismatched context renders no account experience, and no path input can select another account content","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","host/accountHostContext.ts consumed read-only; content/landing/index.ts and content/generated/index.generated.ts both use static import tables with no template-built specifier","n/a - no API operation, no permission key, no policy, no migration","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","PublicLandingLayout fail-closed boundary; PublicLandingPage, PublicFaqPage and PublicLegalPage all read currentAccountContext and none reads a role from the route","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;PublicPages.spec;ui-06-public-landing-pages.spec","Eight accounts checked against the wrong seven each, in unit tests and in the browser, on content, imagery and legal provenance. An unknown account key renders the safe boundary and loads nothing. Resolving a host still grants nothing","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 21, 26; ADR-025","SRV-UI-DEFECT-UI06-001","Local closure of the three UI-01 defects and the two UI-05 content findings Phase UI-06 owns, each with a root-cause record, a regression test and a recorded residual risk","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","n/a - closure is evidence, not a service","n/a - no API surface","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","docs/frontend/audits/ui-06/defect-closure.json","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06LandingContractTest;Ui06GeneratedArtifactStalenessTest;ui-06-public-landing-pages.spec","UI01-ASSET-004, UI01-LEGAL-001, UI01-LEGAL-002, UI05-CONTENT-001 and UI05-CONTENT-002 closed locally, plus six recorded decisions (UI06-CTA-001/002/003, UI06-LEGAL-001, UI06-NAV-001, UI06-PRICE-001). The historical UI-01 register is deliberately unchanged. Every closure is local_complete pending PR CI/review/merge, never verified_complete before merge","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan 8.8, 21.9","SRV-UI-LANDING-STALENESS-001","The UI-06 audit artifacts are derived from the composition modules, the account-host registry and the compiled content, and CI fails when they are stale","UI-06","n/a - no database object; the public landing surface is built from source-controlled content","scripts/generate-ui06-artifacts.mjs, loading the TypeScript authorities through Vite SSR rather than parsing them with a regular expression","n/a - no API surface","n/a - no permission key, policy or scope; the public surface is unauthenticated and the account host selects content only, never authority (ADR-017)","n/a - build-time contract; no component","n/a - no queue or scheduled task","n/a - no audit event; rendering approved public content is not an authority change","Ui06GeneratedArtifactStalenessTest","Nine deterministic artifacts derived from the real modules. An earlier revision parsed the route records out of the source text and mis-reported three route families, which is why the generator reads the records themselves. Added to the existing Frontend and Docker CI jobs; the five required job names are unchanged","verified_complete","docs/proof/ui-06.md; docs/frontend/audits/ui-06/; local completion on branch phase-ui-06-public-landing-pages (base e6664f2ec1c60e55fa27c0a40fa2685a6442932f); the UI-06 pull request is not yet created, so this row is not verified_complete;PR #56 MERGED squash 6b67ad2e1cc2c1031a89dc8d82902a025feac721 (parent e6664f2e, reviewed head e7cac3bf, tree a8336102 equal, mergedAt 2026-08-04T17:09:51Z); final CI run 30924581598 five required checks SUCCESS; governance comment 5182250114; 0 submitted reviews (not independent approval); docs/proof/ui-06.md"
"UI plan §7.1, §7.5","SRV-UI-NAV-CONTRACT-001","One handwritten canonical machine-readable authority registers exactly 160 authenticated pages with every §7.1 field, pinned page-by-page (account, label, route, purpose) to the binding human navigation map so it cannot silently drift from it.","UI-07","none","scripts/generate-ui07-navigation-contract.mjs","none","none (navigation is discoverability; backend policy is the boundary)","docs/frontend/navigation/servana-user-account-navigation-map.yaml; resources/spa/src/navigation/navigationRegistry.generated.ts","none","none","Ui07NavigationContractTest (registers exactly 160; encodes every page of the human map verbatim; never invents a page); navigationFilter.spec.ts","docs/frontend/audits/ui-07/source-authority.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.5","SRV-UI-PAGE-COUNT-001","Exact per-account authenticated page counts 22/23/18/19/24/19/20/15 = 160, derived and summed from the canonical entries rather than asserted from a written total.","UI-07","none","generate-ui07-navigation-contract.mjs count derivation","none","none","REQUIRED_PAGES_PER_ACCOUNT; REQUIRED_PAGES_TOTAL","none","none","Ui07NavigationContractTest (exact count per account; sums instead of trusting a hard-coded number); navigationFilter.spec.ts; ui07-negative-controls.mjs (missing-entry, extra-entry, account-count-drift, total-drift)","docs/frontend/audits/ui-07/page-count-matrix.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.3","SRV-UI-SCREEN-SPEC-001","One screen specification per canonical page (160), each carrying every §7.3 section; no missing spec, no orphan, none shared by two pages; a page that is not implemented says so and names its owner phase.","UI-07","none","generate-ui07-navigation-contract.mjs spec emitter (tree rebuilt wholesale)","none","none","docs/frontend/screens/contract/{account}/{screen_key}.md","none","none","Ui07NavigationContractTest (one spec per page with no orphan; every §7.3 section present; never describes an unimplemented page as implemented); screenInventory.spec.ts","docs/frontend/audits/ui-07/screen-spec-matrix.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.4","SRV-UI-INVENTORY-PARITY-001","The required-page contract and the runtime screen register are reconciled and never summed: every implemented contract page is backed by a runtime row, public/excluded surfaces are classified by an explicit predicate and never inflate the 160.","UI-07","none","inventory parity derivation","none","none","docs/frontend/screens/inventory.json; inventory.yaml","none","none","Ui07NavigationContractTest (public/excluded surfaces stay out of the count; every implemented page has a runtime row); screenInventory.spec.ts","docs/frontend/audits/ui-07/inventory-parity.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.2, §7.4","SRV-UI-ROUTE-PARITY-001","The canonical contract is verified against the ACTUAL Vue Router records, loaded through the real modules rather than parsed from source: no duplicate route name, no duplicate path within a host, no route on the wrong account, and the catch-all can never satisfy a contract page.","UI-07","none","Vite SSR route-table load","none","none","resources/spa/src/router/routes/*.ts","none","none","Ui07NavigationContractTest (lazy component per implemented page; no duplicate name or path); navigationFilter.spec.ts (catch-all rejection); ui-07-navigation-screen-contracts.spec.ts","docs/frontend/audits/ui-07/route-parity.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7, §19.2; ADR-018","SRV-UI-NAV-FILTER-001","Runtime navigation derives from the canonical registry through one deterministic filter shared by desktop, tablet rail and mobile drawer: permission_all AND permission_any, fail-closed on missing data, feature flags, forbidden accounts, parent pruning with no orphan promotion, and stable contract ordering. Super Administrator keeps header placement; the other seven keep sidebar.","UI-07","none","navigationFilter.ts","none","none (UX visibility only; backend authorization is the boundary)","resources/spa/src/navigation/navigationFilter.ts; roleNavigation.ts; navigationIcons.ts","none","none","navigationFilter.spec.ts (25 cases); roleNavigation.spec.ts; RoleNavigation.spec.ts; RoleLayouts.spec.ts; ui-07-navigation-screen-contracts.spec.ts","docs/frontend/audits/ui-07/navigation-parity.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.2","SRV-UI-STATUS-VOCAB-001","Implementation status uses only implemented | planned | disabled_by_gate | removed_by_authority. The legacy phase_11 marker was reconciled by evidence across 18 rows and five gate-blocked rows now name External Gate W.","UI-07","none","status reconciliation","none","none","docs/frontend/screens/inventory.json; navigationRegistry.generated.ts","none","none","Ui07NavigationContractTest (only the four allowed statuses; retires the legacy vocabulary everywhere); screenInventory.spec.ts; ui07-negative-controls.mjs (unknown-status)","docs/frontend/audits/ui-07/status-matrix.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §25","SRV-UI-OWNER-PHASE-001","Every one of the 160 pages has exactly one UI owner phase (UI-08..UI-15 by account); backend ownership is recorded separately and read from the screen inventory, never inferred from UI phase numbering. No page carries an owner of later/future/unknown/TBD.","UI-07","none","owner matrix derivation","none","none","navigationRegistry.generated.ts (ownerPhase, backendOwnerPhase)","none","none","Ui07NavigationContractTest (one UI owner matching the account; never infers backend ownership from UI numbering; never leaves an owner unnamed); ui07-negative-controls.mjs (unknown-owner-phase)","docs/frontend/audits/ui-07/owner-phase-matrix.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"Plan §10.3; UI plan §18","SRV-UI-PERMISSION-PARITY-001","Every permission the contract references already exists in the canonical matrix; UI-07 creates, activates, retires and re-grants no key (matrix unchanged at 167). A page with no proven key carries an empty list rather than a guess.","UI-07","none","permission parity derivation","none","unchanged — EnsurePermission and policies remain authoritative","navigationRegistry.generated.ts (permissionAny, permissionAll)","none","none","Ui07NavigationContractTest (references only existing keys; adds no permission key); ui07-negative-controls.mjs (unknown-permission)","docs/frontend/audits/ui-07/permission-parity.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §5.4, §18; ADR-017","SRV-UI-ACCOUNT-GUARD-001","Every authenticated account route tree requires its account: the seven trees UI-03 deferred now carry the existing guard plus a machine-readable meta.accountKey, and allow/deny is proven for all eight. Denial is role-safe — it mounts nothing, redirects to no other account, and names neither the forbidden account nor the held one. The host selects the experience and grants nothing.","UI-07","none","requiresAccount guard (unchanged behaviour, extended coverage)","none","backend auth:sanctum + tenant/branch middleware + policies unchanged and authoritative","resources/spa/src/router/routes/*.ts; router/guards.ts; router/meta.d.ts","none","none","accountRouteGuard.spec.ts (47 cases: all-eight allow, held-account mismatch, host mismatch, missing account, unknown account, non-enumerating denial); Ui07NavigationContractTest (guards all eight trees; explains every route outside a tree); ui-07-navigation-screen-contracts.spec.ts (8 allow + 24 deny in a browser)","docs/frontend/audits/ui-07/requires-account-coverage.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.2","SRV-UI-PLANNED-NON-EXPOSURE-001","A planned page has no runtime route and no clickable navigation link; a removed_by_authority page appears in neither. Four routes that rendered a Phase-4 placeholder component were removed so no planned page is exposed as a working one.","UI-07","none","contract validation","none","none","router route modules; navigationFilter.ts","none","none","Ui07NavigationContractTest (never exposes a planned or removed page as a live route); navigationFilter.spec.ts; ui-07-navigation-screen-contracts.spec.ts (no planned contract route is reachable at runtime); ui07-negative-controls.mjs (planned-page-exposed-as-a-route)","docs/frontend/audits/ui-07/route-parity.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §7.2; Plan §80.2","SRV-UI-GATE-BEHAVIOUR-001","A disabled_by_gate page names the exact external gate, is rendered disabled with no live destination, implies no availability and creates no Wallet, Refer & Earn, notification or provider runtime. 25 contract pages are blocked by External Gate W.","UI-07","none","gate treatment in navigationFilter.ts","none","none","navigationFilter.ts (GATE_LABELS); roleNavigation.ts (gated availability)","none","none","Ui07NavigationContractTest (names the exact gate; Gate W remains closed); navigationFilter.spec.ts; roleNavigation.spec.ts; ui07-negative-controls.mjs (gate-blocked-page-without-a-gate)","docs/frontend/audits/ui-07/status-matrix.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §6.5","SRV-UI-CODE-SPLIT-001","Every account route group and page component is lazily loaded; no eager barrel imports the 160 pages into the initial bundle and no planned page has a runtime chunk.","UI-07","none","route-level dynamic import","none","none","resources/spa/src/router/routes/*.ts","none","none","Ui07NavigationContractTest (imports no page eagerly); vite build chunk output","docs/frontend/audits/ui-07/code-splitting-matrix.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §21; ADR-025","SRV-UI-NAV-BROWSER-PROOF-001","Browser proof that all eight authenticated shells render exactly the navigation the contract permits, that every rendered link resolves to a real non-catch-all route, that planned entries are absent, and that the account guard admits one account and denies the rest without enumeration.","UI-07","none","Playwright against the built SPA","none","none","tests/e2e/ui-07-navigation-screen-contracts.spec.ts","none","none","ui-07-navigation-screen-contracts.spec.ts (42 cases, 0 console/page errors, 0 failed document/script/style/font requests)","docs/frontend/audits/ui-07/browser-proof.json","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
"UI plan §5.4, §18; Plan §10.2, §13; ADR-017","SRV-UI-ACCOUNT-OWNERSHIP-001","A route's required account is its SCREEN OWNERSHIP, never its URL prefix. Five screens are served to two accounts (branch list/create/record/operating-hours to Merchant Administrator and Branch; staff invitations to Merchant Administrator and Human Resource), so their tree admits both owners while every other child re-asserts its single owner. The served host account must be one of the owners AND the user must hold that same account.","UI-07","none","requiresAccount(...accountKeys)","none","unchanged — backend policy, EnsurePermission and tenant/branch scopes remain the boundary","resources/spa/src/router/guards.ts; router/routes/branch.ts; router/routes/hr.ts","none","none","accountRouteGuard.spec.ts (47); navigationFilter.spec.ts (25); tests/e2e/ui-07-navigation-screen-contracts.spec.ts (42); tests/e2e/branches-staff-invitations.spec.ts; tests/e2e/phase-23-release-audit.spec.ts","docs/frontend/audits/ui-07/requires-account-coverage.json (shared_ownership)","local_complete","docs/proof/ui-07.md; docs/frontend/audits/ui-07/; branch phase-ui-07-navigation-screen-contracts (base 6b67ad2e, no PR) — local closure evidence only, not verified_complete before merge"
